Begrotingsjaar;Valuta;eenheid;Uitgaven (U) Verplichtingen (V) Ontvangsten (O);Begrotingsstaat;Onderdeel;Omschrijving;ontwerpbegroting;vastgestelde begroting;1ste suppletoire begroting;2de suppletoire begroting;Realisatie;Url
2014;Euro;x1000;U;Iia, Staten Generaal;1;Wetgeving en controle Eerste Kamer;11589;;;;;
2014;Euro;x1000;U;Iia, Staten Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;32206;;;;;
2014;Euro;x1000;U;Iia, Staten Generaal;3;Wetgeving en controle Tweede Kamer;93051;;;;;
2014;Euro;x1000;U;Iia, Staten Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;2506;;;;;
2014;Euro;x1000;U;Iia, Staten Generaal;10;Nominaal en onvoorzien;-1252;;;;;
2014;Euro;x1000;O;Iia, Staten Generaal;-;TOTAAL;5166;;;;;
2014;Euro;x1000;O;Iia, Staten Generaal;1;Wetgeving en controle Eerste Kamer;91;;;;;
2014;Euro;x1000;O;Iia, Staten Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;86;;;;;
2014;Euro;x1000;O;Iia, Staten Generaal;3;Wetgeving en controle Tweede Kamer;4966;;;;;
2014;Euro;x1000;O;Iia, Staten Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;23;;;;;
2014;Euro;x1000;O;Iia, Staten Generaal;10;Nominaal en onvoorzien;0;;;;;
2014;Euro;x1000;V;Iia, Staten Generaal;-;TOTAAL;138100;;;;;
2014;Euro;x1000;V;Iia, Staten Generaal;1;Wetgeving en controle Eerste Kamer;11589;;;;;
2014;Euro;x1000;V;Iia, Staten Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;32206;;;;;
2014;Euro;x1000;V;Iia, Staten Generaal;3;Wetgeving en controle Tweede Kamer;93051;;;;;
2014;Euro;x1000;V;Iia, Staten Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;2506;;;;;
2014;Euro;x1000;V;Iia, Staten Generaal;10;Nominaal en onvoorzien;-1252;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;-;TOTAAL;115713;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;1;Raad van State;59650;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;2;Algemene Rekenkamer;29841;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;3;De Nationale Ombudsman;15581;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;4;Kanselarij der Nederlandse Orden;3999;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;6;Kabinet van de Gouverneur van Aruba;1784;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;7;Kabinet van de Gouverneur van Curaçao;2815;;;;;
2014;Euro;x1000;U;Iib, Overige Hoge Colleges van Staat;8;Kabinet van de Gouverneur van Sint Maarten;2043;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;-;TOTAAL;5747;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;1;Raad van State;2002;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;2;Algemene Rekenkamer;1217;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;3;De Nationale Ombudsman;2189;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;4;Kanselarij der Nederlandse Orden;29;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;6;Kabinet van de Gouverneur van Aruba;60;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;7;Kabinet van de Gouverneur van Curaçao;200;;;;;
2014;Euro;x1000;O;Iib, Overige Hoge Colleges van Staat;8;Kabinet van de Gouverneur van Sint Maarten;50;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;-;TOTAAL;115713;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;1;Raad van State;59650;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;2;Algemene Rekenkamer;29841;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;3;De Nationale Ombudsman;15581;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;4;Kanselarij der Nederlandse Orden;3999;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;6;Kabinet van de Gouverneur van Aruba;1784;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;7;Kabinet van de Gouverneur van Curaçao;2815;;;;;
2014;Euro;x1000;V;Iib, Overige Hoge Colleges van Staat;8;Kabinet van de Gouverneur van Sint Maarten;2043;;;;;
2014;Euro;x1000;U;III, Algemene Zaken;-;TOTAAL;60492;;;;;
2014;Euro;x1000;U;III, Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;57085;;;;;
2014;Euro;x1000;U;III, Algemene Zaken;4;Kabinet van de Koning;2331;;;;;
2014;Euro;x1000;U;III, Algemene Zaken;5;Cie v. Toez. I&V;1076;;;;;
2014;Euro;x1000;O;III, Algemene Zaken;-;TOTAAL;6530;;;;;
2014;Euro;x1000;O;III, Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;4199;;;;;
2014;Euro;x1000;O;III, Algemene Zaken;4;Kabinet van de Koning;2331;;;;;
2014;Euro;x1000;O;III, Algemene Zaken;5;Cie v. Toez. I&V;0;;;;;
2014;Euro;x1000;V;III, Algemene Zaken;-;TOTAAL;60492;;;;;
2014;Euro;x1000;V;III, Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;57085;;;;;
2014;Euro;x1000;V;III, Algemene Zaken;4;Kabinet van de Koning;2331;;;;;
2014;Euro;x1000;V;III, Algemene Zaken;5;Cie v. Toez. I&V;1076;;;;;
2014;Euro;x1000;U;IV,  Koninkrijksrelaties;-;TOTAAL;256753;;;;;
2014;Euro;x1000;U;IV,  Koninkrijksrelaties;1;Waarborgfunctie;61821;;;;;
2014;Euro;x1000;U;IV,  Koninkrijksrelaties;2;Bevord.autonomie Koninkrijkspartners;193709;;;;;
2014;Euro;x1000;U;IV,  Koninkrijksrelaties;3;Nominaal en onvoorzien;1223;;;;;
2014;Euro;x1000;O;IV,  Koninkrijksrelaties;-;TOTAAL;32215;;;;;
2014;Euro;x1000;O;IV,  Koninkrijksrelaties;1;Waarborgfunctie;4857;;;;;
2014;Euro;x1000;O;IV,  Koninkrijksrelaties;2;Bevord.autonomie Koninkrijkspartners;27358;;;;;
2014;Euro;x1000;O;IV,  Koninkrijksrelaties;3;Nominaal en onvoorzien;0;;;;;
2014;Euro;x1000;V;IV,  Koninkrijksrelaties;-;TOTAAL;85274;;;;;
2014;Euro;x1000;V;IV,  Koninkrijksrelaties;1;Waarborgfunctie;61821;;;;;
2014;Euro;x1000;V;IV,  Koninkrijksrelaties;2;Bevord.autonomie Koninkrijkspartners;22230;;;;;
2014;Euro;x1000;V;IV,  Koninkrijksrelaties;3;Nominaal en onvoorzien;1223;;;;;
2014;Euro;x1000;U;V, Buitenlandse Zaken;-;TOTAAL;9069127;;;;;
2014;Euro;x1000;U;V, Buitenlandse Zaken;41;Internationale rechtsorde en eerbiediging mensenrechten;106237;;;;;
2014;Euro;x1000;U;V, Buitenlandse Zaken;42;Veiligheid en stabiliteit;273466;;;;;
